Sentiment Analysis:
------------------------ Sentiment of Articles ------------------------
0.txt	{'neg': 0.213, 'neu': 0.74, 'pos': 0.046, 'compound': -0.9618}
1.txt	{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.8563}
2.txt	{'neg': 0.124, 'neu': 0.745, 'pos': 0.131, 'compound': -0.1531}
3.txt	{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.7845}
4.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5.txt	{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.25}
6.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7.txt	{'neg': 0.161, 'neu': 0.765, 'pos': 0.074, 'compound': -0.7316}
8.txt	{'neg': 0.041, 'neu': 0.959, 'pos': 0.0, 'compound': -0.4019}
9.txt	{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.6808}
10.txt	{'neg': 0.202, 'neu': 0.771, 'pos': 0.027, 'compound': -0.8828}
11.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13.txt	{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.7184}
14.txt	{'neg': 0.197, 'neu': 0.743, 'pos': 0.061, 'compound': -0.714}
15.txt	{'neg': 0.069, 'neu': 0.862, 'pos': 0.069, 'compound': -0.25}
16.txt	{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4404}
17.txt	{'neg': 0.068, 'neu': 0.824, 'pos': 0.108, 'compound': 0.2732}
18.txt	{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.8402}
19.txt	{'neg': 0.242, 'neu': 0.7, 'pos': 0.057, 'compound': -0.8126}
20.txt	{'neg': 0.118, 'neu': 0.661, 'pos': 0.221, 'compound': 0.77}
21.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
22.txt	{'neg': 0.407, 'neu': 0.593, 'pos': 0.0, 'compound': -0.8042}
